name	notes	ingredient	page
NIGHTFALL IN KENTUCKY	HONEY FOAM	FOAM (HONEY)	57
NIGHTFALL IN KENTUCKY	WILLETT BOURBON	WHISKEY (BOURBON)	57
NIGHTFALL IN KENTUCKY	AMARO NONINO	AMARO (NONINO)	57
NIGHTFALL IN KENTUCKY	ANGOSTURA BITTERS	BITTERS (AROMATIC)	57
NIGHTFALL IN KENTUCKY	COCOA NIBS	SPICE (COCOA NIBS)	57

RUBE FOSTER	ALLSPICE LIQUEUR	LIQUEUR (ALLSPICE DRAM)	58
RUBE FOSTER	BONDED BOURBON	WHISKEY (BOURBON)	58
RUBE FOSTER	TUACA	LIQUEUR (TUACA)	58
RUBE FOSTER	SIMPLE SYRUP	SYRUP (SIMPLE)	58
RUBE FOSTER	CHOCOLATE BITTERS	BITTERS (CHOCOLATE)	58
RUBE FOSTER	ORANGE TWIST	TWIST (ORANGE)	58

V.O.C. COCKTAIL	ARDBERG SINGLE MALT SCOTCH WHISKY	WHISKEY (SCOTCH)	59
V.O.C. COCKTAIL	JENEVER	GIN (GENEVER)	59
V.O.C. COCKTAIL	CYNAR	AMARO (CYNAR)	59
V.O.C. COCKTAIL	CHERRY HEERING	LIQUEUR (CHERRY HEERING)	59
V.O.C. COCKTAIL	LUSTAU PEDRO XIMENEZ SHERRY	SHERRY (PEDRO XIMENEZ)	59
V.O.C. COCKTAIL	ANGOSTURA BITTERS	BITTERS (AROMATIC)	59
V.O.C. COCKTAIL	SALINE SOLUTION	OTHER (SALINE)	59
V.O.C. COCKTAIL	ASCORBIC ACID SOLUTION	ASCORBIC ACID	59
V.O.C. COCKTAIL	CHERRY GARNISH	GARNISH (CHERRY)	59

BLACK BETTY	DARK RUM	RUM (DARK)	60
BLACK BETTY	AMARO MONTENEGRO	AMARO (MONTENEGRO)	60
BLACK BETTY	FERNET-BRANCA	FERNET (BRANCA)	60
BLACK BETTY	LUSTAU PEDRO XIMENEZ SHERRY	SHERRY (PEDRO XIMENEZ)	60
BLACK BETTY	FLAMED ORANGE ZEST	TWIST (ORANGE)	60

HIGH STREET COCKTAIL	GIN	GIN	62
HIGH STREET COCKTAIL	DOLIN VERMOUTH DE CHAMBERY BLANC	VERMOUTH (BLANC)	62
HIGH STREET COCKTAIL	GIFFARD ABRICOT DU ROUSSILLON	LIQUEUR (APRICOT)	62
HIGH STREET COCKTAIL	FRESH LEMON JUICE	JUICE (LEMON)	62
HIGH STREET COCKTAIL	PEYCHAUD'S BITTERS	BITTERS (PEYCHAUD'S)	62
HIGH STREET COCKTAIL	ASCORBIC ACID SOLUTION	ASCORBIC ACID	62
HIGH STREET COCKTAIL	LEMON TWIST	TWIST (LEMON)	62

PERRA POR FAVOR!	MEZCAL	AGAVE (MEZCAL)	63
PERRA POR FAVOR!	COCCHI VERMOUTH DI TORINO	VERMOUTH (SWEET)	63
PERRA POR FAVOR!	CREME DE MURE	LIQUEUR (CREME DE MURE)	63
PERRA POR FAVOR!	ANGOSTURA BITTERS	BITTERS (AROMATIC)	63
PERRA POR FAVOR!	PINCH OF SALT	SALT	63
PERRA POR FAVOR!	LIME WEDGE	GARNISH (LIME WEDGE)	63

VACATION FOREVER	GIN	GIN	65
VACATION FOREVER	WHITE RUM	RUM (WHITE)	65
VACATION FOREVER	FRESH LEMON JUICE	JUICE (LEMON)	65
VACATION FOREVER	CASONI 1814	APERITIF (CASONI 1814)	65
VACATION FOREVER	PASSION FRUIT SYRUP	SYRUP (PASSION FRUIT)	65
VACATION FOREVER	IPA BEER (60 IBU)	BEER (IPA)	65
VACATION FOREVER	EDIBLE FLOWER	GARNISH (EDIBLE FLOWER)	65

THE LIGHTER SIDE	BOURBON	WHISKEY (BOURBON)	66
THE LIGHTER SIDE	APEROL	APERITIF (APEROL)	66
THE LIGHTER SIDE	PEACH LIQUEUR	LIQUEUR (PEACH)	66
THE LIGHTER SIDE	ANGOSTURA BITTERS	BITTERS (AROMATIC)	66
