name	notes	ingredient	page
MARTINI	GIN OR VODKA	GIN	75
MARTINI	DOLIN DRY	VERMOUTH (DRY)	75
MARTINI	OLIVES	GARNISH (OLIVE)	75
MARTINI	LEMON TWIST	TWIST (LEMON)	75

MANHATTANS FOR TWO	RITTENHOUSE RYE	WHISKEY (RYE)	86
MANHATTANS FOR TWO	CARPANO	VERMOUTH (SWEET)	86
MANHATTANS FOR TWO	ANGOSTURA BITTERS	BITTERS (AROMATIC)	86
MANHATTANS FOR TWO	BRANDIED CHERRIES	GARNISH (BRANDIED CHERRY)	86
MANHATTANS FOR TWO	ORANGE TWIST	TWIST (ORANGE)	86

WHISKEY SOUR WITH EGG WHITE	BOURBON OR RYE	WHIKSEY (BOURBON)	95
WHISKEY SOUR WITH EGG WHITE	FRESH LEMON JUICE	JUICE (LEMON)	95
WHISKEY SOUR WITH EGG WHITE	SIMPLE SYRUP	SYRUP (SIMPLE)	95
WHISKEY SOUR WITH EGG WHITE	SALT	SALT	95
WHISKEY SOUR WITH EGG WHITE	EGG WHITE	EGG (WHITE)	95

CLASSIC DAIRQUIRI	LIGHT RUM	RUM (LIGHT)	99
CLASSIC DAIRQUIRI	SIMPLE SYRUP	SYRUP (SIMPLE)	99
CLASSIC DAIRQUIRI	FRESH LIME JUICE	JUICE (LIME)	99
CLASSIC DAIRQUIRI	SALINE SOLUTION	SALINE SOLUTION	99

HEMINGWAY DAIQUIRI	LIGHT RUM	RUM (LIGHT)	100
HEMINGWAY DAIQUIRI	FRESH LIME JUICE	JUICE (LIME)	100
HEMINGWAY DAIQUIRI	LUXARD MARASCHINO LIQUEUR	LIQUEUR (CHERRY)	100
HEMINGWAY DAIQUIRI	FRESH GRAPEFRUIT JUICE	JUICE (GRAPEFRUIT)	100
HEMINGWAY DAIQUIRI	SALINE SOLUTION	SALINE SOLUTION	100

NEGRONI FOR TWO	GIN	GIN	104
NEGRONI FOR TWO	CAMPARI	APERITIF (CAMPARI)	104
NEGRONI FOR TWO	SWEET VERMOUTH	VERMOUTH (SWEET)	104
NEGRONI FOR TWO	ORANGE TWISTS	TWIST (ORANGE)	104

CLIFF OLD-FASHIONED	ELIJAH CRAIG 12	WHISKEY (BOURBON)	107
