ingredient	name	notes	page
Absinthe	Absinthe Drip	Vieux Pontarlier	46
Absinthe	Black Thorn (Irish)	rinse, St. George	70
Absinthe	Chrysanthemum	Vieux Pontarlier	89
Absinthe	Corpse Reviver No.2	rinse, Vieux Pontarlier	97
Absinthe	De la Louisiane	St. George	103
Absinthe	El Burro	Vieux Pontarlier	115
Absinthe	Golden Star Fizz	rinse, St. George	134
Absinthe	Green Deacon	rinse, St. George	136
Absinthe	Improved Whiskey Cocktail	rinse, Vieux Pontarlier	149
Absinthe	Judgment Day	rinse, Pernod	152
Absinthe	Monkey Gland	rinse, Vieux Pontarlier	182
Absinthe	Paddington	rinse, St. George	199
Absinthe	Primavera	rinse, St. George	211
Absinthe	Rapscallion	rinse, St. George	215
Absinthe	Rattlesnake	rinse, Vieux Pontarlier	216
Absinthe	Sazerac	rinse, Vieux Pontarlier	234
Absinthe	Shiso Malt Sour	Vieux Pontarlier	236
Absinthe	Staggerac	rinse, Edouard	245
Absinthe	Swiss Mist	spritz, Kubler	248
Absinthe	Swollen Gland	rinse, Vieux Pontarlier	249
Absinthe	Tuxedo	rinse, Vieux Pontarlier	257
Absinthe	Zombie Punch	Vieux Pontarlier	271
Allspice Dram	Apple Malt Toddy	St. Elizabeth	53
Allspice Dram	Coda	St. Elizabeth	94
Allspice Dram	El Molino	St. Elizabeth	116
Allspice Dram	Girl From Jerez	St. Elizabeth	133
Allspice Dram	Judgment Day	St. Elizabeth	152
Allspice Dram	Remember Maine	St. Elizabeth	219
Amaro Ciociaro	Bizet		66
Amaro Ciociaro	Buona Notte		82
Amaro Ciociaro	Donizetti		107
Amaro Ciociaro	Lacrimosa		157
Amaro Ciociaro	Triborough		253
Amer Picon	Brooklyn	Jamie Boudreau's replica	78
Aperol	212		43
Aperol	Aperol Spritz		51
Aperol	Archangel		56
Aperol	Cuzco		101
Aperol	Dewey D.		105
Aperol	Eclipse Cocktail		113
Aperol	Foreign Legion		124
Aperol	May Day		176
Aperol	Melon Stand		176
Aperol	South Slope		244
Apricot Liqueur	Against All Odds	Rothman & Winter	46
Apricot Liqueur	Apricot Flip	Rothman & Winter	53
Apricot Liqueur	Beachbum	Rothman & Winter	57
Apricot Liqueur	Bubbaloo	Rothman & Winter	81
Apricot Liqueur	Donizetti	Rothman & Winter	107
Apricot Liqueur	Hotel Nacional Special	Rothman & Winter	146
Apricot Liqueur	Leapfrog	Rothman & Winter	163
Apricot Liqueur	White Birch Fizz	Rothman & Winter	265
Aquavit	Blackbeard	Krogstad	67
Aquavit	Golden Star Fizz	Krogstad	134
Aquavit	Occidental	Linie	195
Aquavit	Primavera	Krogstad	211
Aquavit	Silk Road	Black Sesame-infused, Krogstad	238
Aquavit	Trident	Krogstad	253
Averna Amaro	Gilchrist		130
Bärenjäger Honey Liqueur	#8		42
Bärenjäger Honey Liqueur	Bee's Sip		60
Bärenjäger Honey Liqueur	King Bee		155
Batavia Arrack	Henry Hudson	van Oosten	143
Batavia Arrack	Rack & Rye	van Oosten	214
Beer, Pilsner	Beer and Smoke	Victory	58
Beer, Pumpkin	Great Pumpkin	Southampton	136
Beer, Raspberry	Frambroise Fizz	Oud Beersel Frambroise	124
Beer, Stout	Black Flip	Brooklyn Black Chocolate	67
Beer, White	Newfangled	Southampton Double White Ale	190
Bénédictine	Bobby Burns		74
Bénédictine	Caprice		84
Bénédictine	Chrysanthemum		89
Bénédictine	Condiment Cocktail		94
Bénédictine	De la Louisiane		103
Bénédictine	Frisco		129
Bénédictine	Harvest Sling		140
Bénédictine	Honeymoon Cocktail		143
Bénédictine	Hotel d'Alsace		146
Bénédictine	Junior		154
Bénédictine	King Bee		155
Bénédictine	L.E.S. Globetrotter		167
Bénédictine	Montgomery Smith		182
Bénédictine	Nouveau Carré		193
Bénédictine	Singapore Sling		241
Bénédictine	T&T		256
Bénédictine	Vieux Carré		262
Bénédictine	Widow's Kiss		268
Bénédictine	Woolworth		270
Bitters, Abbott's	Harvest Moon		139
Bitters, Angostura	Benton's Old-Fashioned		62
Bitters, Angostura	Betsy Ross		64
Bitters, Angostura	Black Thorn (Irish)		70
Bitters, Angostura	Champagne Cocktail		86
Bitters, Angostura	Champs Élysées		87
Bitters, Angostura	Chien Chaud		89
Bitters, Angostura	Dewey D.		105
Bitters, Angostura	Figetaboutit		120
Bitters, Angostura	Greenpoint		138
Bitters, Angostura	Improved Whiskey Cocktail		149
Bitters, Angostura	Japanese Cocktail		151
Bitters, Angostura	Jimmie Roosevelt		151
Bitters, Angostura	Junior		154
Bitters, Angostura	Little Bit Country		167
Bitters, Angostura	Luau		168
Bitters, Angostura	Manhattan		171
Bitters, Angostura	Newfangled		190
Bitters, Angostura	Nouveau Sangaree		193
Bitters, Angostura	Old-Fashioned Whiskey Cocktail		195
Bitters, Angostura	Pisco Sour		209
Bitters, Angostura	Prince of Wales		212
Bitters, Angostura	Professor		213
Bitters, Angostura	Pumpkin Toddy		212
Bitters, Angostura	Queens Park Swizzle		214
Bitters, Angostura	Rack & Rye		214
