name	notes	ingredient	page
APEROL SPRITZ	BRUT PROSECCO	WINE (SPARKLING)	28
APEROL SPRITZ	APEROL	APERITIF (APEROL)	28
APEROL SPRITZ	LIME WHEEL	GARNISH (LIME WHEEL)	28
APEROL SPRITZ	CLUB SODA	SODA	28

CAMPARI SPRITZ	BRUT PROSECCO	WINE SPARKLING	29
CAMPARI SPRITZ	CLUB SODA	SODA	29
CAMPARI SPRITZ	CAMPARI	APERITIF (CAMPARI)	29
CAMPARI SPRITZ	GREEN OLIVE	GARNISH (GREEN OLIVE)	29

ELDERFLOWER SPRITZ	PERRIER-JOUET GRAND BRUT CHAMPAGNE	WINE (SPARKLING)	30
ELDERFLOWER SPRITZ	ST GERMAIN	LIQUEUR (ELDERFLOWER)	30
ELDERFLOWER SPRITZ	CLUB SODA	SODA	30
ELDERFLOWER SPRITZ	LEMON WHEELS	GARNISH (LEMON WHEEL)	30

FERNANDO	FERNET BRANCA	FERNET (BRANCA)	33
FERNANDO	CINZANO BIANCO VERMOUTH	VERMOUTH (BLANC)	33
FERNANDO	GALLIANO	LIQUEUR (GALLIANO)	33
FERNANDO	MINT	GARNISH (MINT)	33

MANHATTAN COCKTAIL	RITTENHOUSE RYE	WHISKEY (RYE)	34
MANHATTAN COCKTAIL	DOLIN ROUGE	VERMOUTH (SWEET)	34
MANHATTAN COCKTAIL	GRAND MARNIER	LIQUEUR (ORANGE)	34
MANHATTAN COCKTAIL	ANGOSTURA BITTERS	BITTERS (AROMATIC)	34
MANHATTAN COCKTAIL	LEMON TWIST	TWIST (LEMON)	34

CONTEMPORARY MANHATTAN	WOODFORD RESERVE BOURBON	WHISKEY (BOURBON)	36
CONTEMPORARY MANHATTAN	DOLIN ROUGE	VERMOUTH (SWEET)	36
CONTEMPORARY MANHATTAN	ANGOSTURA BITTERS	BITTERS (AROMATIC)	36
CONTEMPORARY MANHATTAN	BRANDIED CHERRIES	GARNISH (BRANDIED CHERRY)	36

MARTINEZ	BEEFEATER 24 GIN	GIN (LONDON DRY)	39
MARTINEZ	LUXARDO MARASCHINO LIQUEUR	LIQUEUR (CHERRY)	39
MARTINEZ	DOLIN BLANC	VERMOUTH (BLANC)	39
MARTINEZ	ABSINTHE BITTERS	BITTERS (ABSINTHE)	39
MARTINEZ	LEMON TWIST	TWIST (LEMON)	39

CLASSIC MATRINEZ	BEEFEATER	GIN (LONDON DRY)	40
CLASSIC MATRINEZ	DOLIN ROUGE	VERMOUTH (SWEET)	40
CLASSIC MATRINEZ	LUXARDO MARASCHINO LIQUEUR	LIQUEUR (CHERRY)	40
CLASSIC MATRINEZ	REGAN;S ORANGE BITTERS	BITTERS (ORANGE)	40
CLASSIC MATRINEZ	LEMON TWIST	TWIST (LEMON)	40

NERINA	PLYMOUTH GIN	GIN (LONDON DRY)	41
NERINA	MELETTI AMARO	AMARO (MELETTI)	41
NERINA	PUNT E MES	VERMOUTH (SWEET)	41
NERINA	ORANGE TWIST	TWIST (ORANGE)	41

NEGRONI	PLYMOUTH GIN	GIN (LONDON DRY)	42
NEGRONI	CAMPARI	APERITIF (CAMPARI)	42
NEGRONI	CINZANO SWEET VERMOUTH	VERMOUTH (SWEET)	42
NEGRONI	ORANGE TWIST	TWIST (ORANGE)	42

TIFOZI	CAMPARI	APERITIF (CAMPARI)	44
TIFOZI	PUNT E MES	VERMOUTH (SWEET)	44
TIFOZI	LIME WHEELS	GARNISH (LIME WHEEL)	44
TIFOZI	SAN PELLEGRINO ARANCIATA	SODA (ORANGE)	44

AMERICANO	CAMPARI	APERITIF (CAMPARI)	45
AMERICANO	DOLIN ROUGE	VERMOUTH (SWEET)	45
AMERICANO	ORANGE HALF WHEEL	GARNISH (ORANGE HALF WHEEL)	45
AMERICANO	CLUB SODA	SODA	45

PECHE BOURBON	MASSENEZ CREME DE PECHE	LIQUEUR (CREME DE PECHE)	46
PECHE BOURBON	RAW BROWN SUGAR	SUGAR (BROWN CUBE)	46
PECHE BOURBON	SUPERFINE SUGAR	SUGAR (SUPERFINE)	46
PECHE BOURBON	PEYCHAUD'S BITTERS	BITTERS (PEYCHAUD'S)	46
PECHE BOURBON	FEE BROTHERS PEACH BITTERS	BITTERS (PEACH)	46
PECHE BOURBON	PEACH INFUSED BOURBON	WHISKEY (BOURBON, PEACH INFUSED)	46
PECHE BOURBON	MINT	GARNISH (MINT)	46

SAZERAC	ABSINTHE BITTERS	BITTERS (ABSINTHE)	47
SAZERAC	BROWN SUGAR CUBE	SUGAR (BROWN CUBE)	47
SAZERAC	SUPERFINE SUGAR	SUGAR (SUPERFINE)	47
SAZERAC	PEYCHAUD'S BITTERS	BITTERS (PEYCHAUD'S)	47
SAZERAC	ANGOSTURA BITTERS	BITTERS (AROMATIC)	47
SAZERAC	RITTENHOUSE RYE	WHISKEY (RYE)	47
SAZERAC	LEMON TWIST	TWIST (LEMON)	47

PROVENCAL	LAVENDER INFUSED GIN	GIN (LONDON DRY, LAVENDER INFUSED)	49
PROVENCAL	VERMOUTH DE PROVENCE	VERMOUTH (DRY, HERBS DE PROVENCE INFUSED)	49
PROVENCAL	COINTREAU	LIQUEUR (ORANGE)	49
PROVENCAL	ORANGE TWIST	TWIST (ORANGE)	49

CLASSIC DRY MARTINI	BEEFEATER GIN	GIN (LONDON DRY)	50
CLASSIC DRY MARTINI	DOLIN DRY	VERMOUTH (DRY)	50
CLASSIC DRY MARTINI	REGANS ORANGE BITTERS	BITTERS (ORANGE)	50
CLASSIC DRY MARTINI	LEMON TWIST	TWIST (LEMON)	50

VESPER	CHARBAY VODKA	VODKA	52
VESPER	PLYMOUTH NAVY STRENGTH GIN	GIN (NAVY)	52
VESPER	LILLET BLANC	APERITIF (LILLET BLANC)	52
VESPER	ANGOSTURA BITTERS	BITTERS (ANGOSTURA)	52
VESPER	LEMON TWIST	TWIST (LEMON)	52

SECRET CRUSH	LLOPART CAVA LEOPARDI BRUT ROSE	WINE (ROSE)	55
SECRET CRUSH	BROWN SUGAR CUBE	SUGAR (BROWN CUBE)	55
SECRET CRUSH	ANGOSTURA BITTERS	BITTERS (AROMATIC)	55
SECRET CRUSH	CAMPARI	APERITIF (CAMPARI)	55
SECRET CRUSH	LEMON TWIST	TWIST (LEMON)	55

CHAMPAGNE COCKTAIL	GRAND MARNIER	LIQUEUR (ORANGE)	56
CHAMPAGNE COCKTAIL	BRUT CHAMPAGNE	WINE (SPARKLING)	56
CHAMPAGNE COCKTAIL	BROWN SUGAR CUBE	SUGAR (BROWN CUBE)	56
CHAMPAGNE COCKTAIL	ANGOSTURA BITTERS	BITTERS (AROMATIC)	56
CHAMPAGNE COCKTAIL	LEMON TWIST	TWIST (LEMON)	56

AMELIA	LUKSUSOWA POTATO VODKA	VODKA (POTATO)	61
AMELIA	ST GERMAIN	LIQUEUR (ELDERFLOWER)	61
AMELIA	BOIRON BLACKBERRY PUREE	PUREE (BLACKBERRY)	61
AMELIA	FRESH LEMON JUICE	JUICE (LEMON)	61
AMELIA	MINT	GARNISH (MINT)	61

COSMOPOLITAN	CHARBAY MEYER LEMON VODKA	VODKA (LEMON)	62
COSMOPOLITAN	COINTREAU	LIQUEUR (ORANGE)	62
COSMOPOLITAN	FRESH LIME JUICE	JUICE (LIME)	62
COSMOPOLITAN	CRANBERRY JUICE	JUICE (CRANBERRY)	62
COSMOPOLITAN	ORANGE TWIST	TWIST (ORANGE)	62

AVIATION	PLYMOUTH GIN	GIN (LONDON DRY)	63
AVIATION	FRESH LEMON JUICE	JUICE (LEMON)	63
AVIATION	LUXARDO MARASCHINO LIQUEUR	LIQUEUR (CHERRY)	63
AVIATION	SIMPLE SYRUP	SYRUP (SIMPLE)	63
AVIATION	ANGOSTURA BITTERS	BITTERS (AROMATIC)	63
AVIATION	LEMON WHEEL	GARNISH (LEMON WHEEL)	63
AVIATION	BRANDIED CHERRY	GARNISH (BRANDIED CHERRY)	63

BILLIONAIRE COCKTAIL	BAKER'S BOURBON	WHISKEY (BOURBON)	64
BILLIONAIRE COCKTAIL	FRESH LEMON JUICE	JUICE (LEMON)	64
BILLIONAIRE COCKTAIL	SIMPLE SYRUP	SYRUP (SIMPLE)	64
BILLIONAIRE COCKTAIL	HOMEMADE GRENADINE	SYRUP (GRENADINE)	64
BILLIONAIRE COCKTAIL	ABSINTHE BITTERS	BITTERS (ABSINTHE)	64
BILLIONAIRE COCKTAIL	LEMON WHEEL	GARNISH (LEMON WHEEL)	64

MILLIONAIRE COCKTAIL	KNOB CREEK BOURBON	WHISKEY (BOURBON)	66
MILLIONAIRE COCKTAIL	GRAND MARNIER	LIQUEUR (ORANGE)	66
MILLIONAIRE COCKTAIL	EGG WHITE	EGG (WHITE)	66
MILLIONAIRE COCKTAIL	HOMEMADE GRENADINE	SYRUP (GRENADINE)	66
MILLIONAIRE COCKTAIL	RICARD PASTIS	LIQUEUR (PASTIS)	66
MILLIONAIRE COCKTAIL	FRESH LEMON JUICE	JUICE (LEMON)	66
MILLIONAIRE COCKTAIL	NUTMEG	GARNISH (NUTMEG)	66

FRAISE SAUVAGE	PLYMOUTH GIN	GIN (LONDON DRY)	69
FRAISE SAUVAGE	FRESH LEMON JUICE	JUICE (LEMON)	69
FRAISE SAUVAGE	SIMPLE SYRUP	SYRUP (SIMPLE)	69
FRAISE SAUVAGE	WILD STRAWBERRY CORDIAL	CORDIAL (WILD STRAWBERRY)	69
FRAISE SAUVAGE	DEMI-SEC CHAMPAGNE	WINE (SPARKLING)	69
FRAISE SAUVAGE	HALF STRAWBERRY	GARNISH (HALF STRAWBERRY)	69

FRENCH 75	TANQUERAY NO. 10	GIN (LONDON DRY)	70
FRENCH 75	FRESH LEMON JUICE	JUICE (LEMON)	70
FRENCH 75	SIMPLE SYRUP	SYRUP (SIMPLE)	70
FRENCH 75	PERRIER-JOUET GRAND BRUT CHAMPAGNE	WINE (SPARKLING)	70
FRENCH 75	ORANGE HALF WHEEL	GARNISH (ORANGE HALF WHEEL)	70

ROSELLE	TANQUERAY NO. 10	GIN (LONDON DRY)	71
ROSELLE	HIBISCUS CORDIAL	CORDIAL (HIBISCUS)	71
ROSELLE	FRESH LIME JUICE	JUICE (LIME)	71
ROSELLE	FRESH GRAPEFRUIT JUICE	JUICE (GRAPEFRUIT)	71

GIMLET	PLYMOUTH GIN	GIN (LONDON DRY)	72
GIMLET	HOMEMADE LIME CORDIAL	CORDIAL (LIME)	72
GIMLET	LIME WHEEL	GARNISH (LIME WHEEL)	72

GRAPEFRUIT GIMLET	CHARBAY RUBY RED GRAPEFRUIT VODKA	VODKA (RUBY RED GRAPEFRUIT)	74
GRAPEFRUIT GIMLET	FRESH LIME JUICE	JUICE (LIME)	74
GRAPEFRUIT GIMLET	AGAVE NECTAR	SYRUP (AGAVE NECTAR)	74
GRAPEFRUIT GIMLET	RUBY RED GRAPEFRUIT QUARTER WHEEL	GARNISH (RUBY RED GRAPEFRUIT QUARTER WHEEL)	74

GIN RICKEY	PLYMOUTH GIN	GIN (LONDON DRY)	75
GIN RICKEY	HOMEMADE LIME CORDIAL	CORDIAL (LIME)	75
GIN RICKEY	CLUB SODA	SODA	75
GIN RICKEY	LIME WHEEL	GARNISH (LIME WHEEL)	75

GIN ON GIN JULEP	MINT	GARNISH (MINT)	77
GIN ON GIN JULEP	HOMEMADE MINT SYRUP	SYRUP (MINT)	77
GIN ON GIN JULEP	BOLS GENEVER	GENEVER	77
GIN ON GIN JULEP	PLYMOUTH GIN	GIN (LONDON DRY)	77
GIN ON GIN JULEP	CLUB SODA	SODA	77

MINT JULEP	SPEARMINT	GARNISH (MINT)	78
MINT JULEP	HOMEMADE MINT SYRUP OR SIMPLE SYRUP	SYRUP (MINT)	78
MINT JULEP	ANGOSTURA BITTERS	BITTERS (AROMATIC)	78
MINT JULEP	CLUB SODA	SODA	78
MINT JULEP	MAKER'S MARK BOURBON	WHISKEY (BOURBON)	78

HAVANA-STYLE MOJITO	MINT	GARNISH (MINT)	79
HAVANA-STYLE MOJITO	SUPERFINE SUGAR	SUGAR (SUPERFINE)	79
HAVANA-STYLE MOJITO	HOMEMADE MINT SYRUP	SYRUP (MINT)	79
HAVANA-STYLE MOJITO	FRESH LIME JUICE	JUICE (LIME)	79
HAVANA-STYLE MOJITO	FLOR DE CANA 4 YEAR RUM	RUM (AGED)	79
HAVANA-STYLE MOJITO	CLUB SODA	SODA	79
HAVANA-STYLE MOJITO	ANGOSTURA BITTERS	BITTERS (AROMATIC)	79

GINGER SMASH, WINTER SEASON	GINGER	SPICE (GINGER)	82
GINGER SMASH, WINTER SEASON	CRANBERRIES	FRUIT (CRANBERRY)	82
GINGER SMASH, WINTER SEASON	SUPERFINE SUGAR	SUGAR (SUPERFINE)	82
GINGER SMASH, WINTER SEASON	PLYMOUTH GIN	GIN (LONDON DRY)	82
GINGER SMASH, WINTER SEASON	BERENTZEN APFELKORN APPLE LIQUEUR	LIQUEUR (APPLE)	82
GINGER SMASH, WINTER SEASON	FRESH LEMON JUICE	JUICE (LEMON)	82

GINGER SMASH, SPRING SEASON	GINGER	SPICE (GINGER)	83
GINGER SMASH, SPRING SEASON	KUMQUATS	FRUIT (KUMQUAT)	83
GINGER SMASH, SPRING SEASON	SUPERFINE SUGAR	SUGAR (SUPERFINE)	83
GINGER SMASH, SPRING SEASON	PARTIDA BLANCO TEQUILA	AGAVE (TEQUILA BLANCO)	83
GINGER SMASH, SPRING SEASON	RHUM CLEMENT CREOLE SHRUBB	LIQUEUR (ORANGE)	83
GINGER SMASH, SPRING SEASON	FRESH LIME JUICE	JUICE (LIME)	83

GINGER SMASH, SUMMER SEASON	GINGER	SPICE (GINGER)	84
GINGER SMASH, SUMMER SEASON	PINEAPPLE	FRUIT (PINEAPPLE)	84
GINGER SMASH, SUMMER SEASON	SUPERFINE SUGAR	SUGAR (SUPERFINE)	84
GINGER SMASH, SUMMER SEASON	10 CANE RUM	RUM (LIGHT)	84
GINGER SMASH, SUMMER SEASON	FRESH LIME JUICE	JUICE (LIME)	84
GINGER SMASH, SUMMER SEASON	MARASKA MARASCHINO LIQUEUR	LIQUEUR (MARASCHINO)	84
GINGER SMASH, SUMMER SEASON	BERENTZEN APFELKORN APPLE LIQUEUR	LIQUEUR (APPLE)	84
GINGER SMASH, SUMMER SEASON	PINEAPPLE LEAF	GARNISH (PINEAPPLE LEAF)	84

GINGER SMASH, FALL SEASON	GINGER	SPICE (GINGER)	85
GINGER SMASH, FALL SEASON	BARLETT PEAR	FRUIT (BARTLETT PEAR)	85
GINGER SMASH, FALL SEASON	SUPERFINE SUGAR	SUGAR (SUPERFINE)	85
GINGER SMASH, FALL SEASON	PLYMOUTH GIN	GIN (LONDON DRY)	85
GINGER SMASH, FALL SEASON	BERENTZEN APFELKORN APPLE LIQUEUR	LIQUEUR (APPLE)	85
GINGER SMASH, FALL SEASON	FRESH LEMON JUICE	JUICE (LEMON)	85
GINGER SMASH, FALL SEASON	ST ELIZABETH ALLSPICE DRAM	LIQUEUR (ALLSPICE DRAM)	85

WHISKEY SMASH	ORANGE HALF WHEELS	GARNISH (ORANGE HALF WHEEL)	86
WHISKEY SMASH	MINT	GARNISH (MINT)	86
WHISKEY SMASH	HOMEMADE MINT SYRUP	SYRUP (MINT)	86
WHISKEY SMASH	MICHTER'S RYE	WHISKEY (RYE)	86
WHISKEY SMASH	SEASONAL BERRIES	GARNISH (SEASONAL BERRIES)	86

GRAND FASHIONED	SUPERFINE SUGAR	SUGAR (SUPERFINE)	88
GRAND FASHIONED	ANGOSTURA BITTERS	BITTERS (AROMATIC)	88
GRAND FASHIONED	BLOOD ORANGE WEDGES	GARNISH (BLOOD ORANGE WEDGE)	88
GRAND FASHIONED	GRAND MARNIER	LIQUEUR (ORANGE)	88
GRAND FASHIONED	FRESH LIME JUICE	JUICE (LIME)	88

OLD FASHIONED #1	BROWN SUGAR CUBE	SUGAR (BROWN CUBE)	89
OLD FASHIONED #1	ANGOSTURA BITTERS	BITTERS (AROMATIC)	89
OLD FASHIONED #1	COLD WATER	WATER (COLD)	89
OLD FASHIONED #1	AMERICAN WHISKEY	WHISKEY (RYE)	89
