name	notes	ingredient	page
CLASSIC MARGARITA	TEQUILA	AGAVE (TEQUILA	8
CLASSIC MARGARITA	FRESH LIME JUICE	JUICE (LIME)	8
CLASSIC MARGARITA	COINTREAU OR OTHER ORANGE LIQUEUR	LIQUEUR (ORANGE)	8
CLASSIC MARGARITA	AGAVE SYRUP	SYRUP (AGAVE)	8
CLASSIC MARGARITA	SLICE OF LIME	GARNISH (SLICE OF LIME)	8
THE FRENCH INTERVENTION	REPOSADO TEQUILA OR MEZCAL	AGAVE (TEQUILA REPOSADO)	13
THE FRENCH INTERVENTION	LILLET BLANC	APERITIF (LILLET BLANC)	13
THE FRENCH INTERVENTION	GREEN CHARTREUSE	CHARTREUSE (GREEN)	13
THE FRENCH INTERVENTION	GRAPEFRUIT PEEL	TWIST (GRAPEFRUIT)	13
CIDER CUP	HARD CIDER	BEER (APPLE CIDER)	20
CIDER CUP	SLICED APPLES	FRUIT (APPLE)	20
CIDER CUP	SLICED ORANGES	FRUIT (ORANGE)	20
CIDER CUP	SLICED MELONS	FRUIT (MELON)	20
CIDER CUP	FROZEN RASPBERRIES	FRUIT (FROZEN RASPBERRY)	20
CIDER CUP	FROZEN STRAWBERRIES	FRUIT (FROZEN STRAWBERRY)	20
CIDER CUP	FROZEN GRAPES	FRUIT (FROZEN GRAPES)	20
CIDER CUP	GINGER BEER OF GINGER ALE	SODA (GINGER BEER)	20

THE VAVILOV AFFAIR	SUGAR CUBE	SUGAR (CUBE)	25
THE VAVILOV AFFAIR	ANGOSTURA BITTERS	BITTERS (AROMATIC)	25
THE VAVILOV AFFAIR	APPLEJACK	BRANDY (APPLE)	25
THE VAVILOV AFFAIR	BOURBON	WHISKEY (BOURBON)	25
THE VAVILOV AFFAIR	APPLE, SUCH AS GRANNYSMITH OR FUJI	FRUIT (APPLE)	25

RUSTY NAIL	DRAMBUIE	LIQUEUR (DRAMBUIE)	38
RUSTY NAIL	SCOTCH	WHISKEY (SCOTCH)	38

OLD-FASHIONED	BOURBON	WHISKEY (BOURBON)	48
OLD-FASHIONED	SUGAR CUBE	SUGAR (CUBE)	48
OLD-FASHIONED	ANGOSTURA OR ORANGE BITTERS	BITTERS (AROMATIC)	48
OLD-FASHIONED	MARASCHINO CHERRY OR ORANGE PEEL	TWIST (ORANGE)	48

VERMOUTH COCKTAIL	DRY WHITE VERMOUTH	VERMOUTH (BLANC)	61
VERMOUTH COCKTAIL	SWEET RED VERMOUTH	VERMOUTH (SWEET)	61
VERMOUTH COCKTAIL	ANGOSTURA BITTERS	BITTERS (AROMATIC)	61
