ingredient	name	notes
Absinthe	Absinthe Drip	Vieux Pontarlier
Absinthe	Black Thorn (Irish)	rinse, St. George
Absinthe	Chrysanthemum	Vieux Pontarlier
Absinthe	Corpse Reviver No.2	rinse, Vieux Pontarlier
Absinthe	De la Louisiane	St. George
Absinthe	El Burro	Vieux Pontarlier
Absinthe	Golden Star Fizz	rinse, St. George
Absinthe	Green Deacon	rinse, St. George
Absinthe	Improved Whiskey Cocktail	rinse, Vieux Pontarlier
Absinthe	Judgment Day	rinse, Pernod
Absinthe	Monkey Gland	rinse, Vieux Pontarlier
Absinthe	Paddington	rinse, St. George
Absinthe	Primavera	rinse, St. George
Absinthe	Rapscallion	rinse, St. George
Absinthe	Rattlesnake	rinse, Vieux Pontarlier
Absinthe	Sazerac	rinse, Vieux Pontarlier
Absinthe	Shiso Malt Sour	Vieux Pontarlier
Absinthe	Staggerac	rinse, Edouard
Absinthe	Swiss Mist	spritz, Kubler
Absinthe	Swollen Gland	rinse, Vieux Pontarlier
Absinthe	Tuxedo	rinse, Vieux Pontarlier
Absinthe	Zombie Punch	Vieux Pontarlier
Allspice Dram	El Molino	St. Elizabeth
Allspice Dram	Girl From Jerez	St. Elizabeth
Allspice Dram	Judgment Day	St. Elizabeth
Allspice Dram	Remember Maine	St. Elizabeth
Amaro Ciociaro	Bizet	
Amaro Ciociaro	Donizetti	
Amaro Ciociaro	Lacrimosa	
Amaro Ciociaro	Triborough	
Amer Picon	Brooklyn	Jamie Boudreau's replica
Aperol	212	
Aperol	Aperol Spritz	
Aperol	Archangel	
Aperol	Cuzco	
Aperol	Dewey D.	
Aperol	Eclipse Cocktail	
Aperol	Foreign Legion	
Aperol	May Day	
Aperol	Melon Stand	
Aperol	South Slope	
Apricot Liqueur	Against All Odds	Rothman & Winter
Apricot Liqueur	Apricot Flip	Rothman & Winter
Apricot Liqueur	Beachbum	Rothman & Winter
Apricot Liqueur	Bubbaloo	Rothman & Winter
Apricot Liqueur	Donizetti	Rothman & Winter
Apricot Liqueur	Hotel Nacional Special	Rothman & Winter
Apricot Liqueur	Leapfrog	Rothman & Winter
Apricot Liqueur	White Birch Fizz	Rothman & Winter
Averna Amaro	Gilchrist	
Aquavit	Blackbeard	Krogstad
Aquavit	Golden Star Fizz	Krogstad
Aquavit	Occidental	Linie
Aquavit	Primavera	Krogstad
Aquavit	Silk Road	black seasame-infused, Krogstad
Aquavit	Trident	Krogstad
Bärenjäger Honey Liqueur	#8	
Bärenjäger Honey Liqueur	Bee's Sip	
Bärenjäger Honey Liqueur	King Bee	
Batavia Arrack	Henry Hudson	van Oosten
Batavia Arrack	Rack & Rye	van Oosten
Beer, Pilsner	Beer and Smoke	Victory
Beer, Pumpkin	Great Pumpkin	Southampton
Beer, Stout	Black Flip	Brooklyn Black Chocolate
Beer, Raspberry	Frambroise Fizz	Oud Beersel Frambroise
Beer, White	Newfangled	Southampton
Bénédictine	Bobby Burns	
Bénédictine	Caprice	
Bénédictine	Chrysanthemum	
Bénédictine	Condiment Cocktail	
Bénédictine	De la Louisiane	
Bénédictine	Frisco	
Bénédictine	Harvest Sling	
Bénédictine	Honeymoon Cocktail	
Bénédictine	Hotel d'Alsace	
Bénédictine	Junior	
Bénédictine	King Bee	
Bénédictine	L.E.S. Globetrotter	
Bénédictine	Montgomery Smith	
Bénédictine	Nouveau Carré	
Bénédictine	Singapore Sling	
Bénédictine	T&T	
Bénédictine	Vieux Carré	
Bénédictine	Widow's Kiss	
Bénédictine	Woolworth	
Bitters, Abbott's	Harvest Moon	
Bitters, Angostura	Benton's Old-Fashioned	
Bitters, Angostura	Betsy Ross	
Bitters, Angostura	Black Thorn (Irish)	
Bitters, Angostura	Chamagne Cocktail	
Bitters, Angostura	Champs Élysées	
Bitters, Angostura	Chien Chaud	
Bitters, Angostura	Dewey D.	
Bitters, Angostura	Figetaboutit	
Bitters, Angostura	Greenpoint	
Bitters, Angostura	Improved Whiskey Cocktail	
Bitters, Angostura	Japanese Cocktail	
Bitters, Angostura	Jimmie Roosevelt	
Bitters, Angostura	Junior	
Bitters, Angostura	Little Bit Country	
Bitters, Angostura	Luau	
Bitters, Angostura	Manhattan	
Bitters, Angostura	Newfangled	
Bitters, Angostura	Nouveau Sangaree	
Bitters, Angostura	Old-Fashioned Whiskey Cocktail	
Bitters, Angostura	Pisco Sour	
Bitters, Angostura	Prince of Wales	
Bitters, Angostura	Pumpkin Toddy	
Bitters, Angostura	Professor	
Bitters, Angostura	Queens Park Swizzle	
Bitters, Angostura	Rack & Rye	
Bitters, Angostura	Remember Maine	
Bitters, Angostura	Reverend Palmer	
Bitters, Angostura	Rhum Club	
Bitters, Angostura	Rob Roy	
Bitters, Angostura	Rosita	
Bitters, Angostura	Rust Belt	
Bitters, Angostura	Sazerac	
Bitters, Angostura	Seelbach Cocktail	
Bitters, Angostura	Silk Road	
Bitters, Angostura	Singapore Sling	
Bitters, Angostura	Smoky Grove	
Bitters, Angostura	Staggerac	
Bitters, Angostura	Triborough	
Bitters, Angostura	T&T	
Bitters, Angostura	Up to Date	
Bitters, Angostura	Vieux Carré	
Bitters, Angostura	Widow's Kiss	
Bitters, Angostura	Zombie Punch	
Bitters, Boker's	Martinez	Dr. Adam Elmegirab's
Bitters, Celery	Beer and Smoke	Bitter Truth
Bitters, Celery	Condiment Cocktail	Bitter Truth
Bitters, Celery	Ephemeral	Bitter Truth
Bitters, Barrel-Aged	Nigori Milk Punch	Feldman's
Bitters, Jerry Thomas	Johnny Apple Collins	Bitter Truth
Bitters, Lemon	Dry County Cocktail	Bitter Truth
Bitters, Lemon	Kina Miele	Bitter Truth
Bitters, Lemon	Tao of Pooh	Bitter Truth
Bitters, Lemon	Vaccari	Bitter Truth
Bitters, Old Fashion	100 Year Punch	Fee Brothers
Bitters, Orange	Albert Mathieu	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Astoria Bianca	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Bijou	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Blackthorn (English)	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Caprice	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Cavalier	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Chrysanthemum	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Conquistador	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	East India Company	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Leapfrog	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Little Bit Country	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Norman Inversion	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Opera Cocktail	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Paddy Wallbanger	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Prince Edward	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Professor	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Rack & Rye	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Rhum Club	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Rye Witch	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Shaddock Rose	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Smoky Grove	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Statesman	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Tuxedo	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Weeski	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Orange	Woolworth	Housemade (50/50 Fee Brothers/Regan's No. 6)
Bitters, Grapefruit	Gilchrist	Fee Brothers
Bitters, Grapefruit	Vaccari	Bitter Truth
Bitters, Peach	Trident	Fee Brothers
Bitters, Peruvian Amargo	Bubbaloo	
Bitters, Peychaud's	De la Louisiane	
Bitters, Peychaud's	Deshler	
Bitters, Peychaud's	Falling Leaves	
Bitters, Peychaud's	Masataka Swizzle	
Bitters, Peychaud's	New Amsterdam	
Bitters, Peychaud's	Nouveau Carré	
Bitters, Peychaud's	Queens Park Swizzle	
Bitters, Peychaud's	Red-Headed Saint	
Bitters, Peychaud's	Sazerac	
Bitters, Peychaud's	Seelbach Cocktail	
Bitters, Peychaud's	Shaddock Rose	
Bitters, Peychaud's	Silk Road	
Bitters, Peychaud's	Staggerac	
Bitters, Peychaud's	Swollen Gland	
Bitters, Peychaud's	Vieux Carré	
Bitters, Rhubarb	Foreign Legion	Fee Brothers
Bitters, Rhubarb	May Day	Fee Brothers
Bitters, Verbena	Red-Headed Saint	A.B. Smeby
Bitters, Whiskey Barrel Aged	Nth Degree	Fee Brothers
Bitters, Whiskey Barrel Aged	Red Devil	Fee Brothers
Bitters, Whiskey Barrel Aged	Wrong Aisle	Fee Brothers
Bitters, Xocolatl Mole	Left Hand Cocktail	Bittermens
Bitters, Xocolatl Mole	Plátanos en Mole Old Fashioned	Bittermens
Brandy, Apple	Applejack Rabbit	Laird's Bonded
Brandy, Apple	Diamondback	Laird's Bonded
Brandy, Apple	Great Pumpkin	Laird's Bonded
Brandy, Apple	Harvest Moon	Laird's Bonded
Brandy, Apple	Harvest Sling	Laird's Bonded
Brandy, Apple	Honeymoon Cocktail	Laird's Bonded
Brandy, Apple	Jack Rose	Laird's Bonded
Brandy, Apple	Master Cleanse	Laird's Bonded
Brandy, Apple	Newark	Laird's Bonded
Brandy, Apple	Nouveau Sangaree	Laird's Bonded
Brandy, Apple	Nth Degree	Laird's Bonded
Brandy, Apple	Persephone	Laird's Applejack
Brandy, Apple	Pink Lady	Laird's Applejack
Brandy, Apple	Pumpkin Toddy	Laird's Bonded
Brandy, Apple	Solstice	Laird's Bonded
Brandy, Apple	Widow's Kiss	Laird's Bonded
Brandy, Apple	Wrong Aisle	Laird's Bonded
Brandy, Cognac	#3 Cup	Hine VSOP
Brandy, Cognac	Apricot Flip	Hine VSOP
Brandy, Cognac	Betsy Ross	Pierre Ferrand Ambre
Brandy, Cognac	Black Jack	Pierre Ferrand Ambre
Brandy, Cognac	Brandy Crusta	Hine VSOP
Brandy, Cognac	Buona Notte	walnut-infused, Hine VSOP
Brandy, Cognac	Cavalier	Hine VSOP
Brandy, Cognac	Champs Élysées	Hine VSOP
Brandy, Cognac	Coffee Cocktail	Martell VSOP
Brandy, Cognac	East India Cocktail	Martell VSOP
Brandy, Cognac	Field Cocktail	Pierre Ferrand Ambre
Brandy, Cognac	Fish House Punch	Pierre Ferrand Ambre
Brandy, Cognac	Fog Cutter	Hine VSOP
Brandy, Cognac	French Maid	Hine VSOP
Brandy, Cognac	Imperial Blueberry Fizz	Hine VSOP
Brandy, Cognac	Japanese Cocktail	Hine VSOP
Brandy, Cognac	Jimmie Roosevelt	Rémy Martin VSOP
